ID,block,trial,whichFilled,choice,responseTime,pointsWon,blockWinnings,tagText
12706055,1,24,right,right,479,42,1003,???
12706055,1,25,right,right,553,42,1045,???
12706055,1,26,right,right,911,32,1077,???
12706055,1,27,right,left,415,49,1126,???
12706055,1,28,right,left,509,68,1194,???
12706055,1,29,right,left,1934,74,1268,???
12706055,1,30,right,left,876,63,1331,???
12706055,2,1,none,top,0,81,81,???
12706055,2,2,none,top,745,76,157,???
12706055,2,3,none,top,3117,79,236,???
12706055,2,4,none,top,1039,64,300,???
12706055,2,5,none,top,1699,80,380,???
12706055,2,6,none,top,4072,77,457,???
12706055,2,7,none,top,924,92,549,???
12706055,2,8,none,top,950,86,635,???
12706055,2,9,none,top,1927,71,706,???
12706055,2,10,none,left,1453,54,760,???
12706055,2,11,none,bottom,490,26,786,???
12706055,2,12,none,right,606,52,838,???
12706055,2,13,none,top,318,96,934,???
12706055,2,14,none,top,537,81,1015,???
12706055,2,15,none,top,868,81,1096,???
12706055,2,16,none,top,632,77,1173,???
12706055,2,17,none,top,1444,66,1239,???
12706055,2,18,none,top,622,60,1299,???
12706055,2,19,none,top,2328,49,1348,???
12706055,2,20,none,top,450,53,1401,???
12706055,2,21,none,top,2626,60,1461,???
12706055,2,22,bottom,bottom,625,73,1534,???
12706055,2,23,bottom,bottom,632,55,1589,???
12706055,2,24,bottom,bottom,1163,67,1656,???
12706055,2,25,bottom,bottom,2996,69,1725,???
12706055,2,26,bottom,bottom,726,72,1797,???
12706055,2,27,bottom,bottom,1098,56,1853,???
12706055,2,28,bottom,bottom,1017,57,1910,???
12706055,2,29,bottom,bottom,2625,66,1976,???
12706055,2,30,bottom,top,3541,59,2035,???
12706055,3,1,none,top,0,48,48,???
12706055,3,2,none,right,295,52,100,???
12706055,3,3,none,bottom,222,39,139,???
12706055,3,4,none,left,340,1,140,???
12706055,3,5,none,top,309,70,210,???
12706055,3,6,none,top,348,75,285,???
12706055,3,7,none,top,697,89,374,???
12706055,3,8,none,top,625,72,446,???
12706055,3,9,none,top,297,64,510,???
12706055,3,10,none,top,358,52,562,???
12706055,3,11,none,right,411,61,623,???
12706055,3,12,none,bottom,246,9,632,???
12706055,3,13,none,right,350,62,694,???
12706055,3,14,none,right,1210,60,754,???
12706055,3,15,top,top,432,49,803,???
12706055,3,16,top,right,508,60,863,???
12706055,3,17,top,right,578,55,918,???
12706055,3,18,top,right,1122,61,979,???
12706055,3,19,top,right,939,57,1036,???
12706055,3,20,top,right,1479,42,1078,???
12706055,3,21,top,right,585,54,1132,???
12706055,3,22,top,bottom,468,27,1159,???
12706055,3,23,top,right,471,62,1221,???
12706055,3,24,top,right,839,52,1273,???
12706055,3,25,top,right,564,42,1315,???
12706055,3,26,top,right,596,50,1365,???
12706055,3,27,top,right,597,31,1396,???
12706055,3,28,top,right,460,58,1454,???
12706055,3,29,top,right,686,60,1514,???
12706055,3,30,top,right,2607,65,1579,???
13357027,1,1,none,left,1943,7,7,bad
13357027,1,2,none,bottom,719,7,14,bad
13357027,1,3,none,top,646,52,66,bad
13357027,1,4,none,right,387,71,137,bad
13357027,1,5,none,right,306,78,215,bad
13357027,1,6,none,right,334,86,301,bad
13357027,1,7,none,right,327,88,389,bad
13357027,1,8,none,right,314,92,481,bad
13357027,1,9,none,right,299,79,560,bad
13357027,1,10,none,right,316,78,638,bad
13357027,1,11,none,right,277,68,706,bad
13357027,1,12,top,right,1304,62,768,bad
13357027,1,13,top,bottom,387,12,780,bad
13357027,1,14,top,left,322,43,823,bad
13357027,1,15,top,right,362,68,891,bad
13357027,1,16,top,left,268,47,938,bad
13357027,1,17,top,right,340,50,988,bad
13357027,1,18,top,right,282,59,1047,bad
13357027,1,19,top,right,338,50,1097,bad
13357027,1,20,top,left,655,82,1179,bad
13357027,1,21,top,left,284,82,1261,bad
13357027,1,22,top,left,309,79,1340,bad
13357027,1,23,top,left,346,79,1419,bad
13357027,1,24,top,left,305,78,1497,bad
13357027,1,25,top,right,374,86,1583,bad
13357027,1,26,top,left,327,84,1667,bad
13357027,1,27,top,right,337,93,1760,bad
13357027,1,28,top,left,310,83,1843,bad
13357027,1,29,top,right,305,99,1942,bad
13357027,1,30,top,right,359,98,2040,bad
13357027,2,1,none,bottom,0,31,31,bad
13357027,2,2,none,top,355,29,60,bad
13357027,2,3,none,left,267,59,119,bad
13357027,2,4,none,right,327,37,156,bad
13357027,2,5,none,left,301,47,203,bad
13357027,2,6,none,left,303,48,251,bad
13357027,2,7,none,top,328,41,292,bad
13357027,2,8,none,bottom,335,15,307,bad
13357027,2,9,none,left,264,45,352,bad
13357027,2,10,none,right,1382,43,395,bad
13357027,2,11,none,top,333,17,412,bad
13357027,2,12,none,left,272,20,432,bad
13357027,2,13,none,right,332,16,448,bad
13357027,2,14,none,top,315,30,478,bad
13357027,2,15,none,bottom,285,14,492,bad
13357027,2,16,none,left,297,32,524,bad
13357027,2,17,none,top,279,35,559,bad
13357027,2,18,none,top,299,42,601,bad
13357027,2,19,none,top,283,66,667,bad
13357027,2,20,none,top,301,48,715,bad
13357027,2,21,bottom,top,339,55,770,bad
13357027,2,22,bottom,top,282,51,821,bad
13357027,2,23,bottom,right,330,38,859,bad
13357027,2,24,bottom,left,293,25,884,bad
13357027,2,25,bottom,top,293,65,949,bad
13357027,2,26,bottom,top,290,43,992,bad
13357027,2,27,bottom,top,285,40,1032,bad
13357027,2,28,bottom,top,280,48,1080,bad
13357027,2,29,bottom,top,331,62,1142,bad
13357027,2,30,bottom,top,459,58,1200,bad
13357027,3,1,none,top,0,56,56,bad
13357027,3,2,none,right,296,85,141,bad
13357027,3,3,none,right,559,68,209,bad
13357027,3,4,none,bottom,274,10,219,bad
13357027,3,5,none,left,295,16,235,bad
13357027,3,6,none,right,127,55,290,bad
13357027,3,7,none,top,306,86,376,bad
13357027,3,8,none,top,284,89,465,bad
13357027,3,9,none,top,304,86,551,bad
13357027,3,10,none,top,297,92,643,bad
13357027,3,11,none,top,1741,75,718,bad
13357027,3,12,none,top,352,82,800,bad
13357027,3,13,none,top,257,70,870,bad
13357027,3,14,none,right,265,23,893,bad
13357027,3,15,none,top,293,75,968,bad
13357027,3,16,bottom,top,279,64,1032,bad
13357027,3,17,bottom,top,287,59,1091,bad
13357027,3,18,bottom,left,314,90,1181,bad
13357027,3,19,bottom,left,301,92,1273,bad
13357027,3,20,bottom,left,314,92,1365,bad
13357027,3,21,bottom,left,325,99,1464,bad
13357027,3,22,bottom,left,330,88,1552,bad
13357027,3,23,bottom,left,357,83,1635,bad
13357027,3,24,bottom,left,347,79,1714,bad
13357027,3,25,bottom,right,350,35,1749,bad
13357027,3,26,bottom,top,300,95,1844,bad
13357027,3,27,bottom,top,326,84,1928,bad
13357027,3,28,bottom,left,233,65,1993,bad
13357027,3,29,bottom,top,313,91,2084,bad
13357027,3,30,bottom,top,375,96,2180,bad
13573779,1,1,none,right,2023,67,67,good
13573779,1,2,none,left,1385,81,148,good
13573779,1,3,none,top,1011,41,189,good
13573779,1,4,none,left,610,97,286,good
13573779,1,5,none,left,850,93,379,good
13573779,1,6,none,left,770,93,472,good
13573779,1,7,none,left,533,93,565,good
13573779,1,8,none,left,772,87,652,good
13573779,1,9,none,left,587,98,750,good
13573779,1,10,none,left,385,98,848,good
13573779,1,11,none,left,725,94,942,good
13573779,1,12,none,left,393,91,1033,good
13573779,1,13,none,left,396,93,1126,good
13573779,1,14,none,left,419,60,1186,good
13573779,1,15,none,left,475,61,1247,good
13573779,1,16,bottom,bottom,729,13,1260,good
13573779,1,17,bottom,right,1003,84,1344,good
13573779,1,18,bottom,right,460,92,1436,good
13573779,1,19,bottom,right,522,91,1527,good
13573779,1,20,bottom,right,492,93,1620,good
13573779,1,21,bottom,right,465,91,1711,good
13573779,1,22,bottom,right,466,98,1809,good
13573779,1,23,bottom,right,474,97,1906,good
13573779,1,24,bottom,right,491,97,2003,good
13573779,1,25,bottom,right,418,90,2093,good
13573779,1,26,bottom,right,401,90,2183,good
13573779,1,27,bottom,right,380,77,2260,good
13573779,1,28,bottom,left,442,71,2331,good
13573779,1,29,bottom,right,466,88,2419,good
13573779,1,30,bottom,right,524,92,2511,good
13573779,2,1,none,left,1,95,95,good
13573779,2,2,none,left,393,89,184,good
13573779,2,3,none,left,332,88,272,good
13573779,2,4,none,left,323,98,370,good
13573779,2,5,none,left,332,92,462,good
